,Venue,Venue Postal Code,Venue Latitude,Venue Longitude,Venue Category
170,Starbucks,10011,40.73920174651279,-73.9993417695128,Coffee Shop
171,Starbucks Reserve,10011,40.736561,-74.00083,Coffee Shop
172,Starbucks,10014,40.740421295166016,-74.00505828857422,Coffee Shop
173,Starbucks,10011,40.739218,-73.999567,Coffee Shop
174,Experience Bar at Starbucks Reserve Roastery,10011,40.741505,-74.005316,Coffee Shop
175,Starbucks,11222,40.72339148193317,-73.95168985676827,Coffee Shop
176,Starbucks,11365,40.73936337629857,-73.78547067451085,Coffee Shop
177,Starbucks,11215,40.668831296194696,-73.9798931637053,Coffee Shop
178,Starbucks,11215,40.66690124644174,-73.9816363200331,Coffee Shop
179,Starbucks,10017,40.75315692,-73.97975945,Coffee Shop
180,Starbucks,10036,40.7556288776424,-73.98387285120268,Coffee Shop
181,Starbucks,10017,40.75033,-73.97704,Coffee Shop
182,Starbucks,10036,40.75661177752009,-73.98584961891174,Coffee Shop
183,Starbucks,10017,40.755463,-73.98015,Coffee Shop
184,Starbucks,10016,40.75041692,-73.97917487,Coffee Shop
185,Starbucks,10017,40.75302166750532,-73.97811498594818,Coffee Shop
186,Starbucks,10036,40.7569017629723,-73.98128721212817,Coffee Shop
187,Starbucks,10017,40.753439230993756,-73.97840688694255,Coffee Shop
188,Starbucks,10016,40.752089954494195,-73.98135892901436,Coffee Shop
189,Starbucks,10016,40.752095000000004,-73.98107900000001,Coffee Shop
190,Starbucks,10017,40.751863297718614,-73.97780339445329,Coffee Shop
191,Starbucks,10017,40.75268,-73.979824,Coffee Shop
192,Starbucks,10017,40.753325,-73.97940200000001,Coffee Shop
193,Starbucks,10036,40.75753436742648,-73.98482130867265,Coffee Shop
194,Starbucks,10036,40.755604,-73.980155,Coffee Shop
195,Starbucks Cafe,10453,40.85793309232392,-73.9125564089224,Coffee Shop
196,Starbucks,11102,40.77003,-73.91851,Coffee Shop
197,Starbucks,10016,40.74365595,-73.97696425,Coffee Shop
198,Starbucks,10016,40.743544,-73.973853,Coffee Shop
199,Starbucks,11101,40.74672850027345,-73.94391974483865,Coffee Shop
200,Starbucks,11101,40.74745932309569,-73.94203125198355,Coffee Shop
201,Starbucks - Drive Thru,10465,40.82433447235514,-73.83678122830996,Coffee Shop
202,Starbucks,10465,40.824314,-73.8381,Coffee Shop
203,Starbucks,10465,40.825765,-73.835425,Coffee Shop
204,Starbucks (Drive Thru),10465,40.824387,-73.8368,Coffee Shop
205,Starbucks,11217,40.68444,-73.977516,Coffee Shop
206,Starbucks,11217,40.682636,-73.975945,Coffee Shop
207,Starbucks,11217,40.683824599675525,-73.97657657775048,Coffee Shop
208,Starbucks,10033,40.85096145,-73.93833015,Coffee Shop
209,Starbucks,11373,40.734779357910156,-73.8643798828125,Coffee Shop
210,Starbucks,10003,40.735023,-73.989845,Coffee Shop
211,Starbucks,10003,40.73375,-73.986595,Coffee Shop
212,Starbucks,10004,40.72990798225845,-73.99140743961189,Coffee Shop
213,Starbucks,10003,40.73628194,-73.99120667,Coffee Shop
214,Starbucks,10003,40.7309,-73.9832,Coffee Shop
215,Starbucks Reserve,10003,40.72994333023035,-73.9939131949986,Coffee Shop
216,Starbucks,10003,40.73046083792656,-73.99078218925392,Coffee Shop
217,Starbucks,10023,40.772881326005155,-73.98966642591233,Coffee Shop
218,Starbucks,10314,40.592496,-74.162623,Coffee Shop
219,Starbucks,10022,40.761511,-73.967861,Coffee Shop
220,Starbucks,10065,40.76046811346453,-73.96127280120055,Coffee Shop
221,Starbucks,10065,40.762394,-73.965744,Coffee Shop
222,Starbucks,10022,40.761265,-73.9691,Coffee Shop
223,Starbucks,10065,40.764206,-73.96428,Coffee Shop
224,Starbucks,10462,40.835396,-73.86151,Coffee Shop
225,Starbucks,10013,40.71571383553879,-74.0031541656601,Coffee Shop
226,Starbucks,11355,40.758087,-73.829544,Coffee Shop
227,Starbucks,11354,40.757267,-73.83406,Coffee Shop
228,Starbucks,11354,40.76076522285495,-73.83055298489074,Coffee Shop
229,Starbucks,11209,40.63147132540194,-74.02760484644702,Coffee Shop
230,Starbucks,10010,40.738792,-73.9834,Coffee Shop
231,Starbucks,10016,40.74179,-73.980774,Coffee Shop
232,Starbucks,10016,40.741641998291016,-73.98063659667969,Coffee Shop
233,Starbucks,10038,40.711141709192816,-74.00479610351815,Coffee Shop
234,Starbucks,11374,40.73226079885255,-73.86623057929266,Coffee Shop
235,Starbucks,11373,40.73458541,-73.86916335,Coffee Shop
236,Starbucks,11374,40.729803939216424,-73.8626648555788,Coffee Shop
237,Starbucks,10471,40.890105,-73.900758,Coffee Shop
238,Starbucks,11209,40.619260073370675,-74.03288331997678,Coffee Shop
239,Starbucks,11209,40.62111098251337,-74.02591645717621,Coffee Shop
240,Starbucks,11234,40.610795,-73.919635,Coffee Shop
241,Starbucks,11214,40.60492502971137,-73.9986815620759,Coffee Shop
242,Starbucks,11236,40.64514409047422,-73.89599223675205,Coffee Shop
243,Starbucks,10040,40.865546351153135,-73.92733389802066,Coffee Shop
244,Starbucks,11373,40.7303718193247,-73.88753329368588,Coffee Shop
245,Starbucks,11217,40.677459,-73.973011,Coffee Shop
246,Starbucks,10011,40.73698,-73.9964,Coffee Shop
247,Starbucks,10011,40.733033,-73.999677,Coffee Shop
248,Starbucks,10014,40.730647126953016,-74.0026079003726,Coffee Shop
249,Starbucks @ Resorts World Casino,11416,40.69017794313925,-73.8379635212851,Coffee Shop
250,Starbucks,10016,40.749026653174944,-73.975211805708,Coffee Shop
